AQS_Code,siteID,CAMS,TCEQRegion,Region,Name,Address,Latitude,Longitude,Active,Deactive,Owner
480291069,48_029_1069,1069,SAN ANTONIO,13,San Antonio Interstate 35,9904 IH 35 N,29.5294,-98.39139,8-Jan-14,,TCEQ
480370004,48_037_0004,,TYLER,5,Texarkana,2315 W 10th Street,33.4257582,-94.0708021,1-Jan-99,,TCEQ
480390618,48_039_0618,618,HOUSTON,12,Danciger,FM 1459 @ County Road 924,29.148889,-95.765,1-Jun-03,,Brazoria County - Sweeny Industry Group
480390619,48_039_0619,619,HOUSTON,12,Mustang Bayou,FM 2917 @ County Road 169,29.308562,-95.19991,1-Jun-03,,Brazoria County - Chocolate Bayou Industry Group
480391003,48_039_1003,11,HOUSTON,12,Clute,426 Commerce Street,29.0108409,-95.397744,1-Jan-74,,TCEQ
480391004,48_039_1004,84,HOUSTON,12,Manvel Croix Park,4503 Croix Pkwy,29.5204432,-95.3925089,23-Aug-01,,TCEQ
480391012,48_039_1012,1012,HOUSTON,12,Freeport South Avenue I,207 South Avenue I,28.96443,-95.35483,25-May-11,,TCEQ
480391016,48_039_1016,1016,HOUSTON,12,Lake Jackson,109B Brazoria Hwy 332 West,29.0437592,-95.4729462,10-Jun-03,,TCEQ
480415011,48_041_5011,5011,WACO,9,College Station KCLL,Easterwood Field Airport,30.5822222,-96.3511111,2-Sep-05,,National Weather Service
480430101,48_043_0101,"0067, 0316, 0656, 0691 ",EL PASO,6,Bravo Big Bend,Big Bend National Park,29.3025518,-103.1779076,1-Oct-90,,National Park Service
480535009,48_053_5009,5009,AUSTIN,11,Burnet County Airport KBMQ,Burnet County Airport,30.7388889,-98.2386111,17-Jun-04,,National Weather Service
480551604,48_055_1604,1604,AUSTIN,11,Lockhart,214 Bufkin Lane,29.864917,-97.664936,24-Apr-14,,Capitol Area Council of Governments
480610006,48_061_0006,"0080, 0180 ",HARLINGEN,15,Brownsville,344 Porter Drive,25.8925176,-97.4938295,1-Jul-93,,TCEQ
480611023,48_061_1023,1023,HARLINGEN,15,Harlingen Teege,1602 W Teege Avenue,26.2003347,-97.7126837,9-Oct-12,,TCEQ
480612004,48_061_2004,"0323, 0667 ",HARLINGEN,15,Isla Blanca Park,Lot B 69 1/2,26.0696153,-97.1621996,1-Aug-05,,TCEQ
480650004,48_065_0004,104,AMARILLO,1,Pantex 4,SW of FM 293 & FM 2373 Intersection,35.3359717,-101.587083,29-Jan-04,,TCEQ
480650005,48_065_0005,105,AMARILLO,1,Pantex 5,W of FM 293 & FM 2373 Intersection,35.3529795,-101.5806223,13-Jan-04,,TCEQ
480650007,48_065_0007,79,AMARILLO,1,Pantex 7,Masterson Pump Station,35.382749,-101.5608419,12-Jul-99,,TCEQ
480710013,48_071_0013,"0096, 0638 ",HOUSTON,12,Smith Point Hawkins Camp,1850 Hawkins Camp Rd,29.5462437,-94.7869686,6-Sep-00,,TCEQ
480850003,48_085_0003,,DALLAS/FORT WORTH,4,Frisco 5th St,7471 South 5th Street,33.1423361,-96.8246832,1-Jan-84,,TCEQ
480850005,48_085_0005,"0031, 0680 ",DALLAS/FORT WORTH,4,Frisco,6590 Hillcrest Road,33.1324003,-96.7864188,7-May-92,,TCEQ
480850007,48_085_0007,,DALLAS/FORT WORTH,4,Frisco 7,6931 Ash Street,33.1474141,-96.8257693,14-Jan-94,,TCEQ
480850009,48_085_0009,1010,DALLAS/FORT WORTH,4,Frisco Eubanks,6601 Eubanks,33.1446618,-96.8288087,15-Jan-95,,TCEQ
480850029,48_085_0029,,DALLAS/FORT WORTH,4,Frisco Stonebrook,7202 Stonebrook Parkway,33.1360249,-96.8244725,7-Jan-11,,TCEQ
480910503,48_091_0503,503,SAN ANTONIO,13,Bulverde Elementary,1715 E Ammann Road,29.7608333,-98.4627778,27-Aug-02,,Alamo Area Council of Governments
480910505,48_091_0505,505,SAN ANTONIO,13,City of Garden Ridge,21340 FM 3009,29.6391667,-98.2986111,25-Mar-03,,Alamo Area Council of Governments
480971504,48_097_1504,1504,DALLAS/FORT WORTH,4,Gainesville Doss Street,1112 Doss Street,33.63317,-97.153805,1-Oct-13,,North Texas Commission
481095018,48_109_5018,5018,EL PASO,6,Guadalupe Pass KGDP,Pine Springs,31.831111,-104.814444,1-Aug-05,,National Weather Service
481130018,48_113_0018,,DALLAS/FORT WORTH,4,Morrell,3049 Morrell,32.744981,-96.7818829,1-Jan-69,,TCEQ
481130050,48_113_0050,312,DALLAS/FORT WORTH,4,Convention Center,717 South Akard,32.7742622,-96.7976859,1-Jan-79,,City of Dallas Air Pollution Control Section
481130061,48_113_0061,,DALLAS/FORT WORTH,4,Earhart,3434 Bickers (Earhart Elem School),32.7853591,-96.8765711,1-Jan-09,,TCEQ
481130069,48_113_0069,"0060, 0161, 0401, 3002 ",DALLAS/FORT WORTH,4,Dallas Hinton,1415 Hinton Street,32.8200608,-96.8601165,1-Jan-86,,City of Dallas Air Pollution Control Section
481130075,48_113_0075,"0063, 0679 ",DALLAS/FORT WORTH,4,Dallas North #2,12532 1/2 Nuestra Drive,32.9192056,-96.8084975,2-Nov-98,,TCEQ
481130087,48_113_0087,402,DALLAS/FORT WORTH,4,Dallas Redbird Airport Executive,3277 W Redbird Lane,32.6764506,-96.8720596,1-Jan-95,,City of Dallas Air Pollution Control Section
481131067,48_113_1067,1067,DALLAS/FORT WORTH,4,Dallas LBJ Freeway,8652 LBJ Freeway,32.92118,-96.75355,1-Apr-14,,TCEQ
481131500,48_113_1500,1500,DALLAS/FORT WORTH,4,Lancaster Cedardale,1930 Cedardale Road,32.630011,-96.800599,1-Sep-13,,North Texas Commission
481131505,48_113_1505,1505,DALLAS/FORT WORTH,4,Dallas Elm Fork,2171 Manana Drive,32.879107,-96.913552,18-Nov-13,,North Texas Commission
481210034,48_121_0034,"0056, 0157, 0163 ",DALLAS/FORT WORTH,4,Denton Airport South,Denton Airport South,33.219069,-97.1962836,16-Feb-98,,TCEQ
481211007,48_121_1007,1007,DALLAS/FORT WORTH,4,Flower Mound Shiloh,4401 Shiloh Road,33.0458619,-97.1300022,27-Oct-10,,North Texas Commission
481211013,48_121_1013,1013,DALLAS/FORT WORTH,4,DISH Airfield,9800 Clark Airport Road,33.13093,-97.29765,31-Mar-10,,North Texas Commission
481211032,48_121_1032,1032,DALLAS/FORT WORTH,4,Pilot Point,792 E Northside Dr,33.4106476,-96.9445903,4-Apr-06,,TCEQ
481215008,48_121_5008,5008,DALLAS/FORT WORTH,4,Denton Airport KDTO,Denton Municipal Airport,33.206111,-97.198889,22-Jan-03,,National Weather Service
481231602,48_123_1602,1602,CORPUS CHRISTI,14,Cuero,40 Cooperative Way,29.134779,-97.276575,15-Apr-14,,City of Victoria
481350003,48_135_0003,"0047, 0122 ",MIDLAND,7,Odessa-Hays Elementary School,Barrett & Monahans Streets,31.8365747,-102.3420368,2-Feb-93,,TCEQ
481351014,48_135_1014,1014,MIDLAND,7,Odessa Gonzales,2700 Disney,31.8702534,-102.3347563,6-Jun-02,,TCEQ
481390016,48_139_0016,"0052, 0137 ",DALLAS/FORT WORTH,4,Midlothian OFW,2725 Old Fort Worth Road,32.4820829,-97.0268987,7-Nov-94,,TCEQ
481391044,48_139_1044,1044,DALLAS/FORT WORTH,4,Italy,900 FM 667 Ellis County,32.1754166,-96.8701892,21-Aug-07,,TCEQ
481410029,48_141_0029,414,EL PASO,6,Ivanhoe,10834 Ivanhoe (Ivanhoe Fire Station),31.7857687,-106.3235781,1-Jan-79,,City of El Paso Environmental Services Department
481410037,48_141_0037,"0012, 0125, 0151 ",EL PASO,6,El Paso UTEP,250 Rim Rd,31.7682914,-106.5012595,1-Jan-81,,TCEQ
481410038,48_141_0038,,EL PASO,6,Riverside,301 Midway Dr (Riverside High School),31.7338,-106.3721,1-Jan-81,,City of El Paso Environmental Services Department
481410044,48_141_0044,"0041, 0126, 3001 ",EL PASO,6,El Paso Chamizal,800 S San Marcial Street,31.7656854,-106.4552272,1-Apr-88,,TCEQ
481410047,48_141_0047,123,EL PASO,6,Womble,Cleveland Ave at Clark Dr,31.7759422,-106.4131769,13-Apr-93,,TCEQ
481410054,48_141_0054,36,EL PASO,6,El Paso Lower Valley,8470 Plant Rd,31.7038461,-106.356022,7-Jun-96,,TCEQ
481410055,48_141_0055,"0037, 0159, 0172 ",EL PASO,6,Ascarate Park SE,650 R E Thomason Loop,31.7467753,-106.4028059,1-Sep-99,,TCEQ
481410057,48_141_0057,49,EL PASO,6,Socorro Hueco,320 Old Hueco Tanks Road,31.6675,-106.288,18-Nov-99,,TCEQ
481410058,48_141_0058,72,EL PASO,6,Skyline Park,5050A Yvette Drive,31.8939133,-106.425827,11-Jul-00,,TCEQ
481410693,48_141_0693,693,EL PASO,6,Van Buren,2700 Harrison Avenue,31.81337,-106.46452,5-Jul-10,,EPA/OAQPS/MQAG
481411021,48_141_1021,1021,EL PASO,6,Ojo De Agua,6767 Ojo De Agua,31.86247,-106.5473,15-Apr-13,,TCEQ
481490001,48_149_0001,601,AUSTIN,11,Fayette County,636 Roznov Rd,29.9624745,-96.7458748,18-May-00,,Capitol Area Council of Governments
481570696,48_157_0696,696,HOUSTON,12,UH Sugarland,14000 University Blvd,29.5741,-95.6497,26-Feb-09,,University of Houston
481670004,48_167_0004,,HOUSTON,12,Texas City Fire Station,2516 Texas Avenue,29.384444,-94.930833,1-Jan-72,,Galveston City-County Health Department
481670005,48_167_0005,"0147, 1022 ",HOUSTON,12,Texas City Ball Park,2516 1/2 Texas Avenue,29.3852338,-94.9315197,20-Oct-97,,TCEQ
481670056,48_167_0056,620,HOUSTON,12,Texas City 34th Street,2212 North 34th Street,29.4057,-94.94712,1-Jun-03,,Texas City Industry Group
481670571,48_167_0571,571,HOUSTON,12,Clear Creek High School,2305 E Main St,29.525556,-95.070556,12-Sep-03,,University of Houston
481670615,48_167_0615,"0615, 1615 ",HOUSTON,12,Texas City BP 31st Street (Site 1),Texas City Bp Property,29.38145,-94.94108,31-Dec-09,,British Petroleum
481670616,48_167_0616,"0616, 1616 ",HOUSTON,12,Texas City BP Onsite (Site 2),Texas City Bp Property Onsite,29.36886,-94.91544,23-Mar-10,,British Petroleum
481670621,48_167_0621,"0621, 1621 ",HOUSTON,12,Texas City BP Logan Street (Site 3),303 Logan Street,29.380981,-94.93022,7-Apr-10,,British Petroleum
481670683,48_167_0683,683,HOUSTON,12,Texas City 11th Street,569 11th Street South,29.3787,-94.91019,1-Jan-10,,Marathon Petroleum Co.
481670697,48_167_0697,697,HOUSTON,12,UH Coastal Center,Jack Brooks Road,29.3879,-95.0414,31-Mar-10,,University of Houston
481671034,48_167_1034,1034,HOUSTON,12,Galveston 99th Street,9511 Avenue V 1/2,29.2544736,-94.8612886,20-Mar-07,,TCEQ
481675005,48_167_5005,5005,HOUSTON,12,Galveston Airport KGLS,Galveston Scholes International Airport,29.270278,-94.864167,22-Jan-03,,National Weather Service
481750624,48_175_0624,624,CORPUS CHRISTI,14,Coleto,Coleto,28.720926,-97.220882,10-Jul-10,,City of Victoria
481830001,48_183_0001,"0019, 0127, 0644 ",TYLER,5,Longview,Gregg Co Airport near Longview,32.3786823,-94.7118107,1-Jan-77,,TCEQ
481870504,48_187_0504,504,SAN ANTONIO,13,New Braunfels Airport,2090 Airport Rd,29.7041667,-98.0288889,30-Aug-02,,Alamo Area Council of Governments
481870506,48_187_0506,506,SAN ANTONIO,13,Seguin Outdoor Learning Center,1865 Hwy 90 East,29.588611,-97.932222,26-Mar-03,,Alamo Area Council of Governments
481875004,48_187_5004,5004,SAN ANTONIO,13,New Braunfels Airport KBAZ,New Braunfels Municipal Airport,29.7086111,-98.0452778,22-Jan-03,,National Weather Service
482010024,48_201_0024,"0008, 0108, 0150 ",HOUSTON,12,Houston Aldine,4510 1/2 Aldine Mail Rd,29.9010364,-95.3261373,1-Jan-74,,TCEQ
482010026,48_201_0026,"0015, 0115 ",HOUSTON,12,Channelview,1405 Sheldon Road,29.8027073,-95.1254948,1-Jan-80,,TCEQ
482010029,48_201_0029,"0026, 0110, 0154 ",HOUSTON,12,Northwest Harris County,16822 Kitzman,30.039524,-95.6739508,1-Jan-81,,TCEQ
482010036,48_201_0036,1036,HOUSTON,12,Jacinto Port,Corner of First & Elsbeth Streets,29.7761,-95.1051,19-Jul-06,,TCEQ
482010046,48_201_0046,405,HOUSTON,12,Houston North Wayside,7330 1/2 North Wayside,29.8280859,-95.2840958,1-Jan-76,,City of Houston Health Department
482010047,48_201_0047,408,HOUSTON,12,Lang,4401 1/2 Lang Rd,29.834167,-95.489167,1-Jan-78,,City of Houston Health Department
482010051,48_201_0051,409,HOUSTON,12,Houston Croquet,13826 1/2 Croquet,29.623889,-95.474167,1-Jan-78,,City of Houston Health Department
482010055,48_201_0055,"0053, 0146, 0181 ",HOUSTON,12,Houston Bayland Park,6400 Bissonnet Street,29.6957294,-95.499219,24-Mar-98,,TCEQ
482010057,48_201_0057,"0167, 1667 ",HOUSTON,12,Galena Park,1713 2nd Street,29.734231,-95.238469,21-Oct-97,,TCEQ
482010058,48_201_0058,148,HOUSTON,12,Baytown,7210 1/2 Bayway Drive,29.7706975,-95.0312316,25-Mar-98,,TCEQ
482010060,48_201_0060,404,HOUSTON,12,Houston Kirkpatrick,5565 Kirkpatrick,29.8074146,-95.2936223,10-Feb-00,,City of Houston Health Department
482010061,48_201_0061,145,HOUSTON,12,Shore Acres,3903 1/2 Old Highway 146,29.6150008,-95.0181324,28-May-98,,TCEQ
482010062,48_201_0062,406,HOUSTON,12,Houston Monroe,9726 1/2 Monroe,29.625556,-95.267222,1-Jan-84,,City of Houston Health Department
482010066,48_201_0066,410,HOUSTON,12,Houston Westhollow,3333 1/2 Hwy 6 South,29.723333,-95.635833,1-Jul-94,,City of Houston Health Department
482010069,48_201_0069,169,HOUSTON,12,Milby Park,2201A Central St,29.7062492,-95.2611301,7-Apr-99,,TCEQ
482010071,48_201_0071,,HOUSTON,12,Pasadena HL&P,1001 1/2 Red Bluff,29.7164829,-95.2013298,17-Jul-00,,TCEQ
482010075,48_201_0075,411,HOUSTON,12,Houston Texas Avenue,2311 Texas Ave,29.752778,-95.350278,30-Mar-01,,City of Houston Health Department
482010307,48_201_0307,1029,HOUSTON,12,Manchester/Central,9401 1/2 Manchester Street,29.718799,-95.2599093,9-May-05,,TCEQ
482010416,48_201_0416,416,HOUSTON,12,Park Place,7421 Park Place Blvd,29.686389,-95.294722,22-Feb-06,,City of Houston Health Department
482010551,48_201_0551,551,HOUSTON,12,Sheldon,15345 Beaumont Hwy,29.8586111,-95.1602778,17-Apr-02,,Harris County Health and Environmental Services
482010552,48_201_0552,552,HOUSTON,12,Baytown Wetlands Center,1724 Market Street,29.7330556,-94.9847222,11-Jun-03,,Harris County Health and Environmental Services
482010553,48_201_0553,553,HOUSTON,12,Crosby Library,1800 N. 18th Street,29.9208333,-95.0683333,16-Jun-03,,Harris County Health and Environmental Services
482010554,48_201_0554,554,HOUSTON,12,West Houston,16719 Clay Road,29.8330556,-95.6569444,24-Dec-03,,Harris County Health and Environmental Services
482010556,48_201_0556,556,HOUSTON,12,La Porte Sylvan Beach,636 Bayshore Drive,29.6552778,-95.0097222,1-Jan-04,,Harris County Health and Environmental Services
482010557,48_201_0557,557,HOUSTON,12,Mercer Arboretum,22306 Aldine Westfield Road,30.0380556,-95.3811111,12-Feb-04,,Harris County Health and Environmental Services
482010558,48_201_0558,558,HOUSTON,12,Tom Bass,15108 Cullen Blvd,29.5894444,-95.3536111,6-Feb-04,,Harris County Health and Environmental Services
482010559,48_201_0559,559,HOUSTON,12,Katy Park,24927 Morton Road,29.8105556,-95.8061111,12-Mar-04,,Harris County Health and Environmental Services
482010560,48_201_0560,560,HOUSTON,12,Atascocita,2302 Atascocita Rd,29.961944,-95.235,29-Jul-04,,Harris County Health and Environmental Services
482010561,48_201_0561,561,HOUSTON,12,Meyer Park,7700 Cypresswood Dr,30.011667,-95.5225,30-Jul-04,,Harris County Health and Environmental Services
482010562,48_201_0562,562,HOUSTON,12,Bunker Hill Village,11977 Memorial Drive,29.778333,-95.538056,8-Oct-04,,Harris County Health and Environmental Services
482010563,48_201_0563,563,HOUSTON,12,Huffman Wolf Road,2100 Wolf Road,30.05786,-95.06147,21-Sep-10,,Harris County Health and Environmental Services
482010570,48_201_0570,570,HOUSTON,12,Clear Brook High School,4607 FM 2351,29.5488889,-95.1852778,12-Sep-03,,University of Houston
482010572,48_201_0572,572,HOUSTON,12,Clear Lake High School,2929 Bay Area Blvd,29.583333,-95.105,12-Sep-03,,University of Houston
482010617,48_201_0617,617,HOUSTON,12,Wallisville Road,4727 Wallisville Road,29.821389,-94.99,30-May-03,,Houston Regional Monitoring
482010669,48_201_0669,669,HOUSTON,12,TPC FTIR South,8600 Park Place Blvd,29.694722,-95.252778,13-Jan-06,,Texas Petrochemicals
482010670,48_201_0670,670,HOUSTON,12,TPC FTIR North,8600 Park Place Blvd,29.701944,-95.257222,1-Jan-06,,Texas Petrochemicals
482010671,48_201_0671,671,HOUSTON,12,Goodyear GC,9728 West Road,29.706111,-95.255,4-May-06,,Goodyear Tire & Rubber Co
482010673,48_201_0673,673,HOUSTON,12,Goodyear Houston Site #2,2000 Goodyear Dr,29.7023,-95.256697,1-Oct-06,,Goodyear Tire & Rubber Co
482010695,48_201_0695,695,HOUSTON,12,UH Moody Tower,4401 Wheeler Street,29.7176,-95.3414,31-Mar-10,,University of Houston
482010803,48_201_0803,"0114, 0603 ",HOUSTON,12,HRM #3 Haden Rd,1504 1/2 Haden Road,29.7647877,-95.1785379,14-Nov-92,,Houston Regional Monitoring
482011015,48_201_1015,"0165, 1015 ",HOUSTON,12,Lynchburg Ferry,4407 Independence Parkway South,29.7616528,-95.0813861,24-Apr-03,,TCEQ
482011017,48_201_1017,1017,HOUSTON,12,Baytown Garth,8622 Garth Road Unit A,29.823319,-94.983786,5-Jun-12,,TCEQ
482011034,48_201_1034,1,HOUSTON,12,Houston East,1262 1/2 Mae Drive,29.7679965,-95.2205822,1-Jan-73,,TCEQ
482011035,48_201_1035,"0055, 0113, 0304, 0403 ",HOUSTON,12,Clinton,9525 1/2 Clinton Dr,29.7337263,-95.2575931,1-Jan-72,,City of Houston Health Department
482011039,48_201_1039,"0035, 0139, 0235, 1001, 3000 ",HOUSTON,12,Houston Deer Park #2,4514 1/2 Durant St,29.670025,-95.1285077,22-Oct-96,,TCEQ
482011042,48_201_1042,309,HOUSTON,12,Kingwood,3603 1/2 West Lake Houston Pkwy,30.0584604,-95.1897514,15-Feb-01,,City of Houston Health Department
482011043,48_201_1043,243,HOUSTON,12,La Porte Airport C243,La Porte Airport 2434 Buchanan Street,29.672,-95.0647,9-Jun-05,,TCEQ
482011049,48_201_1049,1049,HOUSTON,12,Pasadena North,702 Light Co Service Road,29.716611,-95.2224669,1-Jul-08,,TCEQ
482011050,48_201_1050,45,HOUSTON,12,Seabrook Friendship Park,4522 Park Rd,29.5830473,-95.0155437,29-Jul-01,,TCEQ
482011052,48_201_1052,1052,HOUSTON,12,Houston North Loop,822 North Loop,29.81453,-95.38769,15-Apr-15,,TCEQ
482011066,48_201_1066,1066,HOUSTON,12,Houston Southwest Freeway,5617 Westward Avenue,29.7216,-95.49265,22-Jan-14,,TCEQ
482016000,48_201_6000,"0175, 1020 ",HOUSTON,12,Cesar Chavez,4829 A Galveston Rd,29.6843603,-95.2535982,11-Mar-04,,TCEQ
482030002,48_203_0002,85,TYLER,5,Karnack,Hwy 134 & Spur 449,32.6689873,-94.1674569,30-Jun-01,,TCEQ
482090614,48_209_0614,614,AUSTIN,11,Dripping Springs School,29400 Ranch Road 12,30.2146162,-98.0833473,11-Mar-03,,Capitol Area Council of Governments
482091675,48_209_1675,1675,AUSTIN,11,CAPCOG San Marcos Staples Road,599 Staples Road,29.862281,-97.928856,20-Sep-11,,Capitol Area Council of Governments
482150043,48_215_0043,"0043, 0143 ",HARLINGEN,15,Mission,2300 North Glasscock,26.2262097,-98.291069,1-Jul-95,,TCEQ
482210001,48_221_0001,"0073, 0681 ",DALLAS/FORT WORTH,4,Granbury,200 N Gordon Street,32.4423044,-97.8035291,9-May-00,,TCEQ
482311006,48_231_1006,"0198, 1006 ",DALLAS/FORT WORTH,4,Greenville,824 Sayle Street,33.1530882,-96.1155717,20-Mar-03,,TCEQ
482450009,48_245_0009,"0002, 0112, 2002 ",BEAUMONT,10,Beaumont Downtown,1086 Vermont Avenue,30.0364221,-94.0710606,1-Jan-80,,TCEQ
482450011,48_245_0011,"0028, 0128, 0228 ",BEAUMONT,10,Port Arthur West,623 Ellias Street,29.8975163,-93.9910842,1-Jan-81,,TCEQ
482450014,48_245_0014,119,BEAUMONT,10,Groves,3355 Grandview Ave & 32nd St,29.9611242,-93.895928,1-Sep-93,,TCEQ
482450017,48_245_0017,136,BEAUMONT,10,Port Neches Avenue L,605 Avenue L,29.9825311,-93.9528657,25-Jul-94,,TCEQ
482450018,48_245_0018,"1019, 2001 ",BEAUMONT,10,Jefferson County Airport,End of 90th Street @ Jefferson County Airport,29.9427981,-94.00077,1-Oct-94,,TCEQ
482450019,48_245_0019,"0131, 2000 ",BEAUMONT,10,City Service Center / PA,201 H O Mills Blvd,29.8938491,-93.9792618,9-May-97,,TCEQ
482450021,48_245_0021,"0303, 0689 ",BEAUMONT,10,Port Arthur Memorial School,2200 Jefferson Drive,29.9228943,-93.9090184,6-Mar-00,,South East Texas Regional Planning Commission
482450022,48_245_0022,"0064, 0654 ",BEAUMONT,10,Hamshire,12552 Second St,29.8639574,-94.3178017,10-Feb-00,,TCEQ
482450101,48_245_0101,"0640, 1654 ",BEAUMONT,10,SETRPC 40 Sabine Pass,5200 Mechanic,29.7279314,-93.8940805,1-Jan-00,,South East Texas Regional Planning Commission
482450102,48_245_0102,643,BEAUMONT,10,SETRPC 43 Jefferson Co Airport,Jefferson County Airport,29.9427514,-94.0006841,5-Aug-08,,South East Texas Regional Planning Commission
482450628,48_245_0628,"0628, 1628, 628 ",BEAUMONT,10,SETRPC Port Arthur,Unavailable,29.867756,-93.951163,5-Oct-04,,South East Texas Regional Planning Commission
482451035,48_245_1035,1035,BEAUMONT,10,Nederland High School,1800 N. 18th Street,29.9789255,-94.0108717,30-Aug-06,,TCEQ
482451050,48_245_1050,1050,BEAUMONT,10,Beaumont Mary,414 Mary Street,30.0671163,-94.0909236,13-Oct-10,,TCEQ
482510003,48_251_0003,"0077, 0682 ",DALLAS/FORT WORTH,4,Cleburne Airport,1650 Airport Drive,32.3535945,-97.4367419,10-May-00,,TCEQ
482511008,48_251_1008,1008,DALLAS/FORT WORTH,4,Johnson County Luisa,2420 Luisa Ln,32.469701,-97.169271,23-Nov-10,,TCEQ
482511063,48_251_1063,1063,DALLAS/FORT WORTH,4,Mansfield Flying L Lane,1310 Flying L Lane,32.5418,-97.1175,1-Oct-12,,North Texas Commission
482511501,48_251_1501,1501,DALLAS/FORT WORTH,4,Godley FM2331,12404 FM2331,32.481821,-97.526759,13-Jul-13,,North Texas Commission
482551070,48_255_1070,1070,SAN ANTONIO,13,Karnes County Courthouse,210 W. Calvert Avenue,28.885481,-97.901742,17-Dec-14,,TCEQ
482570005,48_257_0005,71,DALLAS/FORT WORTH,4,Kaufman,3790 S Houston St,32.5649684,-96.3176873,11-Sep-00,,TCEQ
482570020,48_257_0020,,DALLAS/FORT WORTH,4,Terrell Temtex,2988 Temtex Blvd,32.731919,-96.317911,22-Dec-10,,TCEQ
482730314,48_273_0314,314,CORPUS CHRISTI,14,National Seashore,20420 Park Road,27.4269813,-97.2986922,25-Oct-02,,TCEQ
482910699,48_291_0699,699,HOUSTON,12,UH West Liberty,91 Weldon Texaco Road CR 615/610 N,30.0583,-94.9781,31-Mar-10,,University of Houston
483091037,48_309_1037,1037,WACO,9,Waco Mazanec,4472 Mazanec Rd,31.6530743,-97.0706982,16-Apr-07,,TCEQ
483095010,48_309_5010,5010,WACO,9,Waco KACT,Waco Regional Airport,31.611389,-97.230556,2-Sep-05,,National Weather Service
483230004,48_323_0004,"0319, 0655 ",LAREDO,16,Eagle Pass,265 Foster Maldonado,28.704607,-100.4511555,1-Jun-05,,TCEQ
483371507,48_337_1507,1507,ABILENE,3,Bowie Patterson Street,1032 Patterson Street,33.55896,-97.829658,31-Oct-13,,North Texas Commission
483390078,48_339_0078,78,HOUSTON,12,Conroe Relocated,9472A Hwy 1484,30.3503017,-95.4251278,1-Oct-01,,TCEQ
483390698,48_339_0698,698,HOUSTON,12,UH WG Jones Forest,5203 Magnolia Parkway FM 1488,30.2362,-95.4832,31-Mar-10,,University of Houston
483395006,48_339_5006,5006,HOUSTON,12,Conroe Airport KCXO,Montgomery County Airport,30.356667,-95.413889,22-Jan-03,,National Weather Service
